target,text,processed_text
negative,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,schoollistining die rzte westerlandgreat song reallybtw tiredi sleeped between thats bad
negative,I am so hungry  I hate not eating breakfast!,hungry hate not eating breakfast
negative,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,ewww work fazolis have year viserand ugly shoesand pony tailand nail polish
positive,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,its full win luv ive been meaning catch where its now ages now have
negative,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,oft finished can can relax holiday now think ive missed acceptable slot lunch
positive,@ItsNeet 100%.. its like getting an A for all your classes.. ,its like getting all your classes
positive,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",seb spanish fan youim addicted think its best band worldplease come spain early
positive,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,home from soccer its hot out there today have retreated coolness basement
positive,i have find my someone ,have find someone
positive,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,are quotfugazi patrolquot amp our motto quotif see clown point outquot please let everyone know about
positive,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,ginormous haha well feel wierd talking about myy ziiiit good nightt
positive,I'm obsessed with twitting  haha,obsessed with twitting haha
positive,One interlock down one to go ,one interlock down one
negative,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",ughsummer colds are worst esp when you have fever top ridic humidity
negative,I miss Zack so much these days ,miss zack much these days
negative,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,using asus forget which one moment since dont have near mebut complaints are similar yours
positive,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",ive got case designed someone idiot stole can prove they want play hardballim game
negative,my thumb hurts after breaking the nail.... ,thumb hurts after breaking nail
positive,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",congrats platinum its fantastic album one favs
positive,"@JosephFrost Yeahh, that would be pretty awesome. ",yeahh that would pretty awesome
positive,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,think you should work discovery channel then would media sharks
negative,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",home mums house lol maddens could plan actually stone cold broke atm tho not even sure could afford door fee
negative,@MandyyJirouxx that page doesn't exist ,that page doesnt exist
negative,fighting a cold. ,fighting cold
negative,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,jealous miss home wish could home right now watching spanish with gparents
negative,@aleshacal my phone is dying  no charger here!,phone dying charger here
positive,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,green day new you woo
negative,my tv always freezes while i'm watching inbetweeners ,always freezes while watching inbetweeners
negative,@softjunebreeze Ex-factor.... Me too ,exfactor too
negative, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,back school mondaywell did get ipod touch see yah tomorrow then guess
negative,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,missed have catch sunday ohh fancy ldn sunday xoxo
negative,tried to check out your site @poeticmindset ... not working ,tried check out your site not working
positive,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,watching wayne dyers new program pbs quotexcuses begonequot lower mainlanders can check out shaw peace
negative,pimples attack! Arghhhhhhhhh ,pimples attack arghhhhhhhhh
negative,"has to pack, stillll. and doesn't want to.. ",has pack stillll doesnt want
negative,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,how dare you get some before have chance youre longer friend
positive,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",cant stop listening clips new album lines vines trying times its amazing cant wait whole thing
negative,about to pour in orlando ,about pour orlando
positive,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",know dont think they air any cable channels anymore but you can download them from net
positive,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,you will check website you can have idea what product want try will sent email tomorrow
negative,@annieomnious    can it be fixed?  can we make a new simple one mayb?,can fixed can make new simple one mayb
negative,blÃ¤Ã¤ i have a headache ,have headache
positive,Has just joined Twitter.. It better be good! ,has joined twitter better good
negative,Where in Singapore do they sell Dujour? ,where singapore they sell dujour
negative,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",quotyellow pressquot alive well century how quickly forget uss maine
negative,haven't been on all day  went to bed late last night!,havent been all day went bed late last night
positive,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",wheres all rain were supposed have today not complaining tho its lovely amp bright very happy making
positive,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",thank you only took two minutes thankfully style envirowisegovuk was already there taking
negative,ps: i think twitter sucks if you dont have free unlimited texts. ,think twitter sucks you dont have free unlimited texts
positive,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",that sounds wrong stacy lmao love you when take one ill think you too haha youtube
positive,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,really its try out then can see which works doesnt that time its late
negative,Who else misses Parade the day incredibly much.. ,who else misses parade day incredibly much
negative,I was caller number one. ,was caller number one
negative,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,ditto goodnight amp rest well play lottery bought ticket when was last week but luck
positive,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",mornin every hope all well your worlds not sure why work mornin but guess its not all bad
negative,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,should going out but wants stay put participate experiment might have txt photo part
positive,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",you can take criticism blame without resentment youre probably family dog see cheers louann
negative,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",sorry know late responding hrs timezone troubles but think you would need load audacity your compy
negative,History exam today and dreading it ,history exam today dreading
negative,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,after seeing benningfield tonight really made start miss vand family like hxc love you band geeks
positive,Just downloaded a new Twitter app for my phone. So much better already. ,downloaded new twitter app phone much better already
negative,I seem to be making a habbit out of not falling asleep until very late ,seem making habbit out not falling asleep until very late
negative,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,there was steady stream polling station mostly old folks surely they wouldnt vote fascists are people that stupid
negative,Missionaries had passport problems. Still havn't arrived  ya'll pray!,missionaries had passport problems still havnt arrived yall pray
positive,had a very good night ,had very good night
positive,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",enjoying morning hanging out with juliet victoria she doesnt know yet but taking her see divo tonight
positive,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,off miss bikini philippines pageant thanks ticket
positive,i'm going global .. ,going global
negative,They are gone .. ,they are gone
positive,Friends with scott again ,friends with scott again
positive,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,think that lovely brother should take his lovely sister old town some dinn dinn amp margaritas
positive,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,roast cooker cakes oven soon good morning hope everyone well today
negative,Wooo I picked my sister and I miss the empty house. ,wooo picked sister miss empty house
negative,@aleahhh season is almost done with babe ,season almost done with babe
negative,off to work    byeee xox,off work byeee xox
negative,@alexandramusic Diversity won! damnn i wanted flawless to win ,diversity won damnn wanted flawless win
negative,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,printin stuff aunt dont ask its late forgot earlier
negative, can some one pleease tell me how to work out the total surface area of a square pyramid? ,can some one pleease tell how work out total surface area square pyramid
positive,@DENISE_RICHARDS love your hair  dont ever cut ur locks ,love your hair dont ever cut locks
positive,@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,phew hate think you colin had fallen out glad hes smiling you hip hip hip hooray
positive,@Dee_Dee_3 high low ,high low
positive,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",motivation came yay not finished yet but well way gonna finish
negative,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,still cant get jonas bros ticketsdreading facing niece later can see tantrum now hope they put another gig dublin
negative,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",though clothes collection from designers will there together with visual arts but not
positive,On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,schedule now soft launch tomorrow evening already have first customer lost cat
positive,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,quotthank you lord reminding see myself way you see mequot
positive,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,was looking old poster from busted other day you had really short hair everythng young old
negative,"Ugh, so bored today! ",ugh bored today
positive,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,home from long day work wore heels from must crazy came right home soak feets lol who wana rub
negative,Still at work  This entire week has felt like an extremely long and awful Monday!,still work entire week has felt like extremely long awful monday
negative,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,upgraded iphone but seem have weaker link tamu wireless
negative,morning twitterland...off to work i go ,morning twitterlandoff work
negative,@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,such plantaholic spent several thousand last few years planting brothers lake cabin sold
positive,Trying to learn some &quot;PHOTOGRAPHY&quot; ,trying learn some quotphotographyquot
positive,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,ill sure vote you that competition star with your name would well with your idol trophy
negative,already miss baby donkey ,already miss baby donkey
negative,@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,have good authority that well getting around
negative,Just heard gun shots in my neighborhood!!! ,heard gun shots neighborhood
negative,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,watched hella home movies with aunt uncle miss days where our whole family got along
negative,I am sooo tired!! My eyes literally can't stay open ,sooo tired eyes literally cant stay open
negative,I hate word challenge on facebook! ,hate word challenge facebook
negative,is sad she couldn't go out with her girls tonight  It's been too long....,sad she couldnt out with her girls tonight its been too long
negative,PACKING SUCKS! i miss my Lee ,packing sucks miss lee
positive,O how i love you sammoons  o how i do. ,how love you sammoons how
negative,"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",wants free doughnut krispy kremes are expensive but million times better than other doughnuts
positive,new phone  tattoo on monday! Woo.. just had tea. yummy.,new phone tattoo monday woo had tea yummy
negative,waiting for my hoe to come back ,waiting hoe come back
negative,"i just cried a lot  im so over that all , and i cant hear it anymore...",cried lot over that all cant hear anymore
negative,Trying to get on facebook!!! ,trying get facebook
negative,I want to post lol cats on here but I can't ,want post lol cats here but cant
positive,@RobbieTaylor I have no comment about who won the game until this replay is completed. ,have comment about who won game until replay completed
positive,Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,thank you everyone seriously lucky guy have such great lovely friends lets keep touch chuckisherecom
negative,friday gimmick in the office  but always looking forward for the weekend!,friday gimmick office but always looking forward weekend
positive,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,talk meeting tonight tampa chamber with guest speaker word mouth marketing happy hour after tinatapas
positive,successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,successfully obtained visa entries enter stay royal kingdom thailand
positive,Downtown Disney ,downtown disney
negative,missing my mom ,missing mom
negative,A little sad  pretty bad news and feel too much insecure about my playing.,little sad pretty bad news feel too much insecure about playing
negative,@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... ,oohwee naw been chillin tryna get use new work schedule having wrk
positive,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. ,hahaha dont scared they need fresh minds youre
positive,grandparents arrive tomorrow... good nite ,grandparents arrive tomorrow good nite
positive,that was a good chat!  keep u posted guys...,that was good chat keep posted guys
negative,@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me ,much waffle amp not enough drinking going hes less annoying version numpty amp hes not you which makes
positive,@theclimbx3 i knooow  its the pizza girl episode xD &lt;3,knooow its pizza girl episode
positive,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",random drunk girl sitting car quotis that your man bagquot quotyes thats man bagquot btw its name butch
positive,lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday,lots cool ppl
positive,Alright this is my debute twitt  yay lol,alright debute twitt yay lol
negative,@Spitphyre girls i am outta it then  my exams,girls outta then exams
negative,Why do peep toe shoes hurt so bad ,why peep toe shoes hurt bad
positive,@Alyssa_Milano do celebs get more characters than the rest of us? ,celebs get more characters than rest
negative,need to charge my mac... ,need charge mac
positive,Keyshia cole loves bebe too!!! ,keyshia cole loves bebe too
negative,@dstarr I want my bed  x,want bed
positive,"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16 ",dang itbrbhave get cake candles ice cream out sing happy birthday niece sweet
positive,"@StiffValentine Olympus E-410.  Besides the recent digital lenses, I also got an old 50mm OM lens which mounts via a simple adapter.  ",olympus besides recent digital lenses also got old lens which mounts via simple adapter
negative,"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks. ",going watch brewer game eat soup play sims sit vaporizer filled room stupid cold sucks
negative,Hmmm.... My whole body feels sore! ,hmmm whole body feels sore
positive,@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see ,sooo happy youll get retake penguin pics collect penguin stuff penguin freak cant wait see
negative,"My server has been going down lots lately, it makes me a sad WoW player  lol",server has been going down lots lately makes sad wow player lol
positive,how would you feel if @taylorswift13 was in a GoBernos video? eh eh ,how would you feel was gobernos video
negative,"@timdifford cheers, I spotted that - couldn't find it on the App Store though ",cheers spotted that couldnt find app store though
negative,sore throat ,sore throat
positive,He'd go anywhere with me ,hed anywhere with
positive,@LexiePixie your tarot twreading is next. ,your tarot twreading next
positive,@Bowl_the_Bunny lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more ,lol love how put some stars some hahacrosses fingers hope you get more
negative,This tea taste like pure WATER!!!  Yuck!,tea taste like pure water yuck
negative,sad that it's not my birthday anymore and that my balloon is deflating ,sad that its not birthday anymore that balloon deflating
negative,"Great to get bk online, my own net was down ",great get online own net was down
negative,St Andrews is scaring me. ,andrews scaring
positive,Finally done work YAY ,finally done work yay
negative,@DTatStar not nice  lol,not nice lol
negative,i aint alive....im just breathing to death ,aint aliveim breathing death
positive,Sorry you missed it. Good night! ,sorry you missed good night
negative,oopss did that twice  D: im such a silly moo.,oopss did that twice such silly moo
positive,"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven ",mummmmmmmmmmm can you put pizza oven
positive,@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! ,haha yeeahh yeahh you know its only till its not too bad
negative,@Jagusti shit! I thought it was months away  I'm not in Sheffield this weekend ,shit thought was months away not sheffield weekend
positive,@Shadez mmm...i wouldn't mind li'l Katy's either.. ,mmmi wouldnt mind lil katys either
positive,On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha. ,jew mood downloading futures chase light naman mamaya haha
positive,Wishes @kirstiealley a Happy Mother's Day! ,wishes happy mothers day
negative,"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming ",more rain due ugh going graduation today was hoping kids could swimming
negative,woke up early today...dont wanna go to school tomorrow... ,woke early todaydont wanna school tomorrow
negative,I can't seem to fall asleep tonight ,cant seem fall asleep tonight
positive,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",years need best coverage world take look here yes here europe moving
positive,That should give you happy thoughts ,that should give you happy thoughts
negative,@monzongo2009 OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics ,get well soon trying get well myself midst merola sending you virtual antibiotics
negative,Dam texts woke me up ,dam texts woke
negative,"I could seriously go back to sleep  working 3-11 tonight w/ mitch...but toni won't be there...it's not the same, but i hope it's fun! ilu!",could seriously back sleep working tonight mitchbut toni wont thereits not same but hope its fun ilu
positive,eatin an icecream ,eatin icecream
positive,"@FifthSenseNYC I'll be giving the Mark Birley a wear later this week, even though I'm not a &quot;quiet man&quot;. ",ill giving mark birley wear later week even though not quotquiet manquot
positive,happy birthday to andy hurley ,happy birthday andy hurley
positive,Hangin with my bestie suzi ,hangin with bestie suzi
negative," FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;(",fml today sucks hope dance will bring soul pray but still sadi hateee todayyyyyy
positive,But I will follow ,but will follow
negative,I'm saying good bye to a good friend tonight... kinda sad ,saying good bye good friend tonight kinda sad
positive,my last nite in work for weeks.....ah im in such good humour ,last nite work weeksah such good humour
negative,"My Sonic skills have not improved... Running, fine. Spinning, awesome. Jump from platform to platform? The fail whale grabs me ",sonic skills have not improved running fine spinning awesome jump from platform platform fail whale grabs
negative,"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away... ",saw red balloon flying outside window somewhere out there kid must crying because wind blew his balloon away
negative,Working today. Closing. 2 - 11. Missing out on Ming's birthday dinner/party. ,working today closing missing out mings birthday dinnerparty
negative,@JoshBkelley just wanted to say the youngstown girls miss you  .. &amp; what happened to tell it like it is on itunes? cant find it!,wanted say youngstown girls miss you amp what happened tell like itunes cant find
positive,Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite ,ahhhi finally dont have keep guys happyi get waited tonite
negative,hope you feel better mommy  I love you :X,hope you feel better mommy love you
negative,@KandyChazer it is...but i was told i was gonna be entertained and i wasnt ,isbut was told was gonna entertained wasnt
positive,yay! just realized i'm not driving this trip and can do all the twittering!  ,yay realized not driving trip can all twittering
positive,"@amf7 Thank you for reminding me! I actually have something in mind given the date. Hint, it's Star Trek related. ",thank you reminding actually have something mind given date hint its star trek related
positive,We should have brought a flask with v0dka. Hahaha. ,should have brought flask with vdka hahaha
negative,Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.,got pulled over fucking terrified cops headlights out guess mew
negative,gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep... ,gotta checkconsoleconvince stay bed that actually wants sleep min nap car past his sleep
positive,@cali_g510 ok   I got you!,got you
positive,Changed the background on here. About to go watch 'Mary Shellys Frankenstein'.  Add: http://bit.ly/4Qhlv,changed background here about watch mary shellys frankenstein add
positive,"@MANDY_EMMERSON I know you do, Go TEAM GB ",know you team
