target,text
positive,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. 
positive,grandparents arrive tomorrow... good nite 
positive,that was a good chat!  keep u posted guys...
negative,@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me 
positive,@theclimbx3 i knooow  its the pizza girl episode xD &lt;3
positive,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  "
positive,lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday
positive,Alright this is my debute twitt  yay lol
negative,@Spitphyre girls i am outta it then  my exams
negative,Why do peep toe shoes hurt so bad 
positive,@Alyssa_Milano do celebs get more characters than the rest of us? 
negative,need to charge my mac... 
positive,Keyshia cole loves bebe too!!! 
negative,@dstarr I want my bed  x
positive,"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16 "
positive,"@StiffValentine Olympus E-410.  Besides the recent digital lenses, I also got an old 50mm OM lens which mounts via a simple adapter.  "
negative,"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks. "
negative,Hmmm.... My whole body feels sore! 
positive,@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see 
negative,"My server has been going down lots lately, it makes me a sad WoW player  lol"
positive,how would you feel if @taylorswift13 was in a GoBernos video? eh eh 
negative,"@timdifford cheers, I spotted that - couldn't find it on the App Store though "
negative,sore throat 
positive,He'd go anywhere with me 
positive,@LexiePixie your tarot twreading is next. 
positive,@Bowl_the_Bunny lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more 
negative,This tea taste like pure WATER!!!  Yuck!
negative,sad that it's not my birthday anymore and that my balloon is deflating 
negative,"Great to get bk online, my own net was down "
negative,St Andrews is scaring me. 
positive,Finally done work YAY 
negative,@DTatStar not nice  lol
negative,i aint alive....im just breathing to death 
positive,Sorry you missed it. Good night! 
negative,oopss did that twice  D: im such a silly moo.
positive,"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven "
positive,@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! 
negative,@Jagusti shit! I thought it was months away  I'm not in Sheffield this weekend 
positive,@Shadez mmm...i wouldn't mind li'l Katy's either.. 
positive,On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha. 
positive,Wishes @kirstiealley a Happy Mother's Day! 
negative,"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming "
negative,woke up early today...dont wanna go to school tomorrow... 
negative,I can't seem to fall asleep tonight 
positive,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving "
positive,That should give you happy thoughts 
negative,@monzongo2009 OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics 
negative,Dam texts woke me up 
negative,"I could seriously go back to sleep  working 3-11 tonight w/ mitch...but toni won't be there...it's not the same, but i hope it's fun! ilu!"
positive,eatin an icecream 
positive,"@FifthSenseNYC I'll be giving the Mark Birley a wear later this week, even though I'm not a &quot;quiet man&quot;. "
positive,happy birthday to andy hurley 
positive,Hangin with my bestie suzi 
negative," FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;("
positive,But I will follow 
negative,I'm saying good bye to a good friend tonight... kinda sad 
positive,my last nite in work for weeks.....ah im in such good humour 
negative,"My Sonic skills have not improved... Running, fine. Spinning, awesome. Jump from platform to platform? The fail whale grabs me "
negative,"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away... "
negative,Working today. Closing. 2 - 11. Missing out on Ming's birthday dinner/party. 
negative,@JoshBkelley just wanted to say the youngstown girls miss you  .. &amp; what happened to tell it like it is on itunes? cant find it!
positive,Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite 
negative,hope you feel better mommy  I love you :X
negative,@KandyChazer it is...but i was told i was gonna be entertained and i wasnt 
positive,yay! just realized i'm not driving this trip and can do all the twittering!  
positive,"@amf7 Thank you for reminding me! I actually have something in mind given the date. Hint, it's Star Trek related. "
positive,We should have brought a flask with v0dka. Hahaha. 
negative,Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.
negative,gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep... 
positive,@cali_g510 ok   I got you!
positive,Changed the background on here. About to go watch 'Mary Shellys Frankenstein'.  Add: http://bit.ly/4Qhlv
positive,"@MANDY_EMMERSON I know you do, Go TEAM GB "
positive,"@sdministry Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile "
negative,@temptationdice why did my family decide to have a family gathering?  i see why you hate them. -.-
positive,@kerryjor Happy Birthday!  Enjoy the cougar years - roar! 
negative,I work 9-6 today with bitch boss 
negative,  DD has pinkeye...not fun.
positive,3 little birds pitch by my door step singing sweet songs of melodies pure &amp; true sayin dis is my message 2 you: dont worry about a thing 
positive,Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!   
positive,Off to london biggin hill 
negative,definitely just failed my exam 
positive,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard 
positive,@laurie_pringle I mention it in the blog post. It's in Vancouver. 
positive,I am soooo happy!!! 
positive,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  
negative,mark cubans doin handsprings right now- the &quot;punks and thugs&quot; are sinking.. but he's not looking forward to paying dirk's child support. 
positive,@lovelyberries haha you can cuddle with me anytime 
positive,had a lovely birthday.  http://plurk.com/p/xedq0
negative,@judez_xo ugly kids there?  woahh where am i then. 
positive,@canadianfamily The best thing about my Mother's Day was my son. And the card my husband got me 'from' our 5.5 week old son. 
positive,Just got off the  â  Misery loves company..... Haha
negative,ugh sdre isnt coming here  lame. today can suck my dick.
positive,@andyclemmensen tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.
negative,TWO More weeks and its back to work. 
negative,is healthy breakfast then back to geography revision 
positive,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.
negative,Kylie's being a bad girl today. 
positive,@LaYdeeDeliSh he's definately a strong lil guy! 
negative,I watched UP! This time I cried  It's really sad and hilarious ... That movie totally rocks!
positive,just booked my driving test 
negative,i've been working for more than 24 hours now 
positive,"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! "
negative,I can't believe the last survivor of the Titanic died...that's really sad! 
negative,Starting to wonder if my future landlord is crazy or prejudice against americans.. this may not end well 
positive,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow
positive,@lexia well done on all your reporting.  Haven't been vocal but have enjoyed and appreciated your work. Cheers lady. 
positive,I would love the 85mm 1.2 .. but would settle for the 85mm 1.8. I'd also love a 1Dsmark3 for it to sit on 
positive,@AngelIVXXX very good price 
positive,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile 
positive,soo hungry! hot dogs with all the fixings? sounds yummy ! 
negative,is having a bad day - email not working properly and looks like the 10km run is off for me 
positive,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? 
positive,"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man! "
positive,"@Hail_Mary_Jane: never date anyone who's on twitter, then you can't tweet about how whack they are.&lt;----sooooooooo true "
positive,I need someone to talk to!  Who can that be? 
negative,@BrianMcnugget still your old joker kinda self...im glad...i kinda miss it 
positive,un vot pe blogoree pls: http://bit.ly/ueUb6   Multumesc! 
negative,"Dear baby, I can't wait until your teething days are over. "
negative,"@ninasplayground LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)"
positive,@imPLastic 
positive,"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! "
positive,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? 
positive,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. 
negative,I had Wendy's before this. That was a bad choice   http://twitpic.com/6vlkp
positive,@cjm55 Thanks!  
negative,"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you..."
negative,@Castiel_ yeah. totally. 
positive,@Lumiel Aren't you sweet? 
negative,CDC Vaccine Advisor Pockets $29 Million Promoting Vaccines -  http://is.gd/M7Q8 - MORE ELITIST SCUM VACCINATION PROFITEERING - Sorry 
positive,@MissChriis i don't know how to celebrate yet. lol but i'm very excited about it. 
negative,@windsorj Poor thing  Hope you feel brighter soon x
negative,Ah. The perfect summer day was ruined by the rain. Too good to be true.  but its still hot as hell. I feel sticky and gross. Long day. Ha
negative, i gotta work today
positive,@nowamunkie My pleasure. 
positive,Blood Brothers was Amazing.  Got my program signed by the cast  Got a Picture with Sean Jones. 
positive,bob to the top high school musical porno. ftw 
negative,@DavidArchie I'm running a fever  If you gave me a shoutout I swear I'd get better! (HINTHINT!) HAHAHA.
positive,"@edicius during this Stanley Cup match up, yes, I am a Pens fan. "
positive,"@besz I will tell you on Thursday all about Tuesday, I promise. How bout I skip all this, and just eat the monkey for breakfast? "
negative,I thought it was meant to be a hot summer  to mean rain doesnt mean hot.
positive,@Wolfie75 Welcomes home  Glad you had a fabbo time!
positive,doesn't know what to do with himself today... but might get some blonde put in his hair for summer 
negative,"kick  butt, Chuck has been renewed for a third season.  Sucks only 13 episodes though.    http://tr.im/lF45"
negative,just wants to get it over and done with. I miss working 
positive,@Boy_Kill_Boy Anything for first class tix 
negative,"@Jason25329 Sorry to hear that  but hey, you're eating well at least!"
negative,Phew! Done rewriting the 1st bit of my results to order. Reread comments from bosses to ensure I'd incorporated them. Had. But sad now. 
positive,morning tweeple  hope you all have a great monday
positive,"Home and off for hopefully, a sunny weekend "
positive,"@innocent_eyez26 OMG :o ahahaa. oh well, thats common there  hihii"
negative,packing up my room... 
negative,CEO is on the floor today. Need to be careful while surfing today. It's all work and no play day. 
negative,hitting the gym!  its bout time
negative,"Wife just left on a motorcycle ride. I still need to get my Washington plates , so I am at home, Drat! "
negative,@TwilightilDawn Oh man I want palm trees and the beautiful ocean! Not cow town CO  Follow @peterfacinelli @billy_burke
positive,#musicmonday King Blues My Bolder 
negative,"I have a 1,500-word deadline in 2 days, stacks of research materials are surrounding me, and I don't have a clue how to start  Need coffee"
positive,@gfalcone601 well at least you had a great time and thats what's important! 
negative,"Oh and more car FAIL, after all the work i had done Fri., the Check Engine light went on just as i got home last night "
negative,@itwittmyclit I'm jealous. I wanna nerd out 
positive,"@PiKaHsSo Sup fam? Hope you have a GREAT weekend! Keep doing what u do, we appreciate u "
positive,http://twitpic.com/4eg0i - Before his hair cut. I just wanna kiss that little face all day long 
positive,@mike_rhodes r u romeo from somewhere? 
negative,Only problem with Google Chrome: no foxkeh 
positive,Figuring out how to live a life where I'm my own boss... fun 
positive,"CAN YOU SAY AFTER 30 HOURS OF TRAVELING IM FINALLY IN ARGENTINA?! yes! oh hello Buenos Aires, how i love you "
negative,@dawnmcwilliams Saha 
negative,I don't feel well at all. Dizziness and vomit. No fun 
positive,"I want to drink tonight,, want a cosmopolitan "
positive,@dance2jeffreee I have already watch that video lol 
negative,Everytime she stops talkin or replying for hours or days it is like she's leavin me all over again 
positive,is off to work til 4! Happy Hump Day! 
negative,@girl_alex ....  Hope you're okay?
positive,"i made 29 updates today, my record xD talk to you tomorrow bye "
negative,@disco_di aww tell me about it!!! its just not the same  hope you have a better day
positive,"@SomeWriter Hey, great minds think alike! "
negative,Mother's Day is a traditionally time for BBQ here ... unfortunately I don't like BBQ at all  ... but I am also not a mother ;-) ;-)
positive,back from school w/ @_gerardo. Making a grocery run w/ @kellan_craddock before celebrating @chadachi's 22nd birthday with a barbeque. 
positive,Summat to make your laugh today http://budurl.com/beckhams 
negative,"regretting not wearing sunscreen today, spent 6 hours walking round Kew Gardens during a mini heatwave. Healthy glow is an understatement "
negative,Shot after shot. Alc is lying to me 
positive,@kirstiealley Prizes are good! 
positive,"Everyone follow @JKitsJena because this twitter is fawked, pleeeeease and thank you "
negative,@ the booptys crib watching chucky 3 with the little one my boopty aint feeling well 
negative,im off from one job and now im off to my next one. i wish i was rich and didnt have to worry about money. but i have to cuz of my son.   
negative,"@BT_broadband Ah, well, we're both in the same boat then. I switched because they were throttling the speed every single night. "
negative,and @thedebbyryan http://www.debbyandchrisryanfansite.webs.com/ is WRONG tha page dont found  follow us -we r ur team TEAMofDEBBYRYAN
positive,@tonyrobbins &quot;paradise is where I am.&quot; he also said 
negative,@Guitargirl5595 yeah so now i am all bummed cause now i dont have college anymore 
negative,@TomboyTigress  you told me you LIKED my marshmallow fish. *runs off crying*
negative,is back at the hotel. wifi doesn't reach the room  http://plurk.com/p/rnauu
positive,"Im a very open girl and if you remain respectful, we will have a lot of fun  See my pics here http://sa9.us/HornySophie"
positive,@jaimeeashley i demand a picture of the red hair please and thankyou 
positive,I will try to remember to Twitter from the George Strait concert 
positive,going to take some photo and ride my whole new bike~~ 
negative,good afternnon world althought the weather is bad i hate the rainny season 
positive,"Hai, anyone wanna hang? "
negative,"@victoriastevens yeah, i've started too "
positive,I have got to bid ou all goodnight tweeps. Need to spend more QTwith @Mike103g the miniscule before he leaves for the week 
positive,Tra la la la la!  might make a video later  see if i can be bothered 
negative,@SamanthaOfUM lol that would tiiiiight but idk about money situation! 
negative,I miss Ashley so much right now 
positive,i can't believe this is all part of my detox (it is) because i was so fine and now i'm talking all core wounds! oh my god! jesus help me! 
negative,is rockin' a minivan til the STi is ready. I miss it already 
negative,"Sooooo happy right now.  I &lt;3 my old high school friends.  Miss the boy already, though. "
positive,"@Young_SoulBlade hey, wassup? "
negative,it seems that I'm going to lose the big #lgp2009's feast   I hope you enjoy it as much as I did!
negative,@Shadows1990 Oh dear  should go out when your better 
negative,@samantha247 Luckyyyy. I want to ding dong ditch with ya'll. Jealous. 
positive,@Remy_Foster LOL I'm in your favourites 3 times!!! 
